"D.sum"	"S.sum"	"Total"	"NrmD"	"NrmS"
"Aqe.1"	32843	26489	59332	0.553546147104429	0.446453852895571
"Aqe.2"	31614	26752	58366	0.541650961176027	0.458349038823973
"Aqe.3"	24152	19503	43655	0.553247050738747	0.446752949261253
"Aqe.4"	31581	27423	59004	0.535234899328859	0.464765100671141
"Aqe.5"	27963	25257	53220	0.525422773393461	0.474577226606539
"Aqe.6"	25482	22836	48318	0.527381100211101	0.472618899788899
"Aqe.7"	30393	26722	57115	0.532136916746914	0.467863083253086
"Aqe.8"	33167	29112	62279	0.532555114886238	0.467444885113762
"Arc1"	33236	1808	35044	0.948407716014154	0.0515922839858464
"Arc23"	36763	8659	45422	0.809365505702083	0.190634494297917
"Arc24"	36976	3536	40512	0.912717219589258	0.0872827804107425
"Arc7"	36796	1669	38465	0.95660990510854	0.0433900948914598
"Arn2"	26970	2372	29342	0.919160248108513	0.0808397518914866
"Arn3"	33730	952	34682	0.972550602618073	0.0274493973819272
"Arn6"	35948	1745	37693	0.95370493195023	0.0462950680497705
"B.A.2.R3"	31804	28464	60268	0.5277095639477	0.4722904360523
"B.A.2.R4"	37978	9677	47655	0.796936313083622	0.203063686916378
"BAR1020"	33870	387	34257	0.988703038794991	0.0112969612050092
"BD.D.2.R4"	42686	12949	55635	0.767250831311225	0.232749168688775
"BD1.1"	36420	31971	68391	0.532526209588981	0.467473790411019
"BD12.12"	37561	31265	68826	0.545738529044257	0.454261470955743
"BD12.17"	33809	28829	62638	0.539752227082602	0.460247772917398
"BD12.6"	29255	26244	55499	0.527126614893962	0.472873385106038
"BD13.16"	39069	32674	71743	0.544568808106714	0.455431191893286
"BD13.17"	38617	31502	70119	0.550735178767524	0.449264821232476
"BD13.5"	14064	12997	27061	0.519714718598721	0.480285281401279
"BD13.8"	37537	4831	42368	0.885975264350453	0.114024735649547
"BD14.17"	39943	33085	73028	0.546954592758942	0.453045407241058
"BD14.18"	34424	29647	64071	0.537278956158012	0.462721043841988
"BD14.9"	10539	9619	20158	0.522819724178986	0.477180275821014
"BD15.18"	32566	28798	61364	0.530702040284206	0.469297959715794
"BD16.11"	28696	25317	54013	0.531279506785403	0.468720493214596
"BD16.4"	36479	30991	67470	0.54066992737513	0.45933007262487
"BD17.10"	35232	29326	64558	0.545741813562998	0.454258186437002
"BD17.13"	34644	29819	64463	0.537424569132681	0.462575430867319
"BD17.16"	39514	32798	72312	0.546437659033079	0.453562340966921
"BD17.4"	34415	28628	63043	0.545897244737719	0.454102755262281
"BD17.5"	31097	27690	58787	0.52897749502441	0.47102250497559
"BD17.9"	36718	31506	68224	0.538197701688555	0.461802298311445
"BD19.13"	31237	26740	57977	0.538782620694413	0.461217379305587
"BD19.14"	34317	29738	64055	0.535742721099056	0.464257278900944
"BD19.16"	37318	5564	42882	0.870248589151625	0.129751410848375
"BD19.17"	30483	27187	57670	0.528576382868042	0.471423617131958
"BD19.3"	32635	29621	62256	0.524206502184528	0.475793497815472
"BD19.4"	34122	28206	62328	0.547458606083943	0.452541393916057
"BD2.13"	41920	25666	67586	0.620246796673867	0.379753203326133
"BD2.15"	36844	2489	39333	0.936719802710193	0.0632801972898075
"BD2.16"	33599	28332	61931	0.542523130580808	0.457476869419192
"BD2.3"	38420	431	38851	0.988906334457285	0.0110936655427145
"BD2.4"	24756	22227	46983	0.526913990166656	0.473086009833344
"BD2.6"	35368	30244	65612	0.539047735170396	0.460952264829604
"BD2.7"	42449	35148	77597	0.547044344497854	0.452955655502146
"BD20.14"	42757	12534	55291	0.773308495053444	0.226691504946555
"BD20.15"	9953	8871	18824	0.528739906502337	0.471260093497663
"BD20.5"	34447	29104	63551	0.542037104058158	0.457962895941842
"BD20.6"	45114	22158	67272	0.670620763467713	0.329379236532287
"BD21.3"	36791	311	37102	0.991617702549728	0.00838229745027222
"BD21"	18274	40	18314	0.997815878562848	0.00218412143715191
"BD23.12"	38300	2992	41292	0.927540443669476	0.0724595563305241
"BD23.3"	33246	29162	62408	0.532720164081528	0.467279835918472
"BD23.6"	30086	27171	57257	0.525455402832841	0.474544597167159
"BD23.8"	33984	29043	63027	0.539197486791375	0.460802513208625
"BD25.10"	35136	29678	64814	0.542105100749838	0.457894899250162
"BD25.11"	35049	28947	63996	0.547674854678417	0.452325145321583
"BD25.12"	33706	28543	62249	0.541470545711578	0.458529454288422
"BD25.14"	31993	28923	60916	0.525198634184779	0.474801365815221
"BD25.16"	34835	30520	65355	0.533012011322776	0.466987988677224
"BD25.18"	35482	29410	64892	0.546785428095913	0.453214571904087
"BD25.7"	40386	32898	73284	0.55108891436057	0.44891108563943
"BD26.12"	8494	8411	16905	0.502454895001479	0.497545104998521
"BD26.15"	16182	10600	26782	0.604211784034053	0.395788215965947
"BD26.16"	31190	28433	59623	0.523120272378109	0.476879727621891
"BD26.3"	27659	24239	51898	0.532949246599098	0.467050753400902
"BD26.6"	32262	28444	60706	0.531446644483247	0.468553355516753
"BD26.7"	38219	31043	69262	0.551803297623517	0.448196702376484
"BD27.10"	32524	28429	60953	0.533591455711778	0.466408544288222
"BD27.3"	33012	28808	61820	0.534001941119379	0.465998058880621
"BD27.8"	37068	29968	67036	0.552956620323408	0.447043379676592
"BD27.9"	33222	29419	62641	0.530355517951501	0.469644482048499
"BD28.13"	23217	19579	42796	0.542503972333863	0.457496027666137
"BD28.14"	34701	29663	64364	0.53913678453794	0.46086321546206
"BD28.17"	32694	28762	61456	0.531990367091903	0.468009632908097
"BD28.18"	37708	31589	69297	0.544150540427435	0.455849459572564
"BD28.3"	29872	24515	54387	0.549248901391877	0.450751098608123
"BD28.9"	34331	28930	63261	0.542688228134238	0.457311771865762
"BD29.1"	37711	567	38278	0.985187313861748	0.0148126861382517
"BD3.1"	38092	420	38512	0.989094308267553	0.010905691732447
"BD30.1"	22801	197	22998	0.991434037742412	0.00856596225758762
"BD4.15"	26657	24211	50868	0.524042620114807	0.475957379885193
"BD4.17"	34278	29674	63952	0.535995746810108	0.464004253189892
"BD4.18"	30457	27067	57524	0.529465962033238	0.470534037966762
"BD4.9"	35279	29334	64613	0.546004673982016	0.453995326017984
"BD6.15"	11150	11927	23077	0.48316505611648	0.51683494388352
"BD7.11"	32381	27946	60327	0.536758002221228	0.463241997778772
"BD7.12"	33486	28273	61759	0.54220437507084	0.45779562492916
"BD7.9"	29441	27373	56814	0.518199739500827	0.481800260499173
"BD8.10"	31855	28554	60409	0.527322087768379	0.472677912231621
"BD8.11"	32549	28858	61407	0.530053576953768	0.469946423046233
"BD8.7"	35877	31129	67006	0.535429663015252	0.464570336984748
"BD9.14"	35190	30123	65313	0.538790133664048	0.461209866335952
"BDTR.13o"	17946	14241	32187	0.557554292105508	0.442445707894492
"BDTR6G.R1"	10443	9050	19493	0.535730775150054	0.464269224849946
"BDTR6K.R2"	31170	26727	57897	0.538369863723509	0.461630136276491
"BDTR6K.R4"	38527	34932	73459	0.524469431928014	0.475530568071986
